"frame","x [nm]","y [nm]"
1,75097.4675728142,48000.0
1,9932.030408045408,49000.0
1,6291.476703677356,77875.0
1,11083.523296322644,48125.0
1,6317.969591954591,78125.0
1,64959.66275162883,119875.0
1,10596.302833436725,43000.0
1,10596.302833436725,43000.0
1,69903.69716656327,81000.0
1,74596.30283343673,43000.0
1,74596.30283343673,43000.0
1,65067.96959195459,120125.0
1,66819.51493019523,115375.0
1,70317.96959195459,78125.0
1,64959.66275162883,119875.0
1,10875.0,41000.0
1,2819.5149301952342,115375.0
1,69682.03040804541,83000.0
1,69682.03040804541,83000.0
1,76069.51493019523,41375.0
1,74903.69716656327,41000.0
1,73875.0,49000.0
1,5682.030408045409,83000.0
1,5682.030408045409,83000.0
1,9805.485069804765,49750.0
1,1067.9695919545911,120125.0
1,12083.523296322644,40125.0
1,73805.48506980477,49750.0
1,9846.302833436725,49000.0
1,1653.6971665632757,115000.0
1,11915.33724837118,42125.0
1,10790.33724837118,42125.0
1,74817.96959195459,42125.0
1,74817.96959195459,42125.0
1,74125.0,47000.0
1,74317.96959195459,46125.0
1,74317.96959195459,46125.0
1,6041.476703677356,79875.0
1,6067.969591954591,80125.0
1,71347.4675728142,78000.0
1,70209.66275162883,77875.0
1,10317.969591954592,46125.0
1,10290.33724837118,46125.0
1,10125.0,47000.0
1,70096.30283343673,79000.0
1,70096.30283343673,79000.0
1,7347.46757281419,78000.0
1,10055.485069804765,47750.0
1,75347.4675728142,46000.0
1,74209.66275162883,45875.0
1,10182.030408045408,47000.0
1,11347.467572814188,46000.0
1,74055.48506980477,47750.0
1,5932.030408045409,81000.0
1,5932.030408045409,81000.0
1,74500.0,44000.0
1,10500.0,44000.0
1,10500.0,44000.0
1,74500.0,44000.0
1,10040.33724837118,48125.0
1,74403.69716656327,45000.0
1,11569.514930195235,45375.0
1,10403.697166563275,45000.0
1,70000.0,80000.0
1,70000.0,80000.0
1,71569.51493019523,77375.0
1,5290.337248371178,86125.0
1,6540.337248371179,76125.0
1,12597.467572814188,36000.0
1,11459.66275162882,35875.0
1,9555.485069804765,51750.0
1,69277.5324271858,86000.0
1,69290.33724837117,86125.0
1,76625.0,36000.0
1,7665.337248371178,76125.0
1,73625.0,51000.0
1,5277.53242718581,86000.0
1,75459.66275162883,35875.0
1,73625.0,51000.0
1,9596.302833436725,51000.0
1,70567.96959195459,76125.0
1,70541.47670367736,75875.0
1,11375.0,37000.0
1,64805.48506980476,121750.0
1,11375.0,37000.0
1,75375.0,37000.0
1,69375.0,85000.0
1,69375.0,85000.0
1,75375.0,37000.0
1,64846.302833436726,121000.0
1,11653.697166563275,35000.0
1,73527.5324271858,52000.0
1,73540.33724837117,52125.0
1,69153.69716656327,87000.0
1,69153.69716656327,87000.0
1,76833.52329632264,34125.0
1,75682.03040804541,35000.0
1,12819.514930195235,35375.0
1,5153.6971665632755,87000.0
1,5153.6971665632755,87000.0
1,11567.969591954592,36125.0
1,11567.969591954592,36125.0
1,75596.30283343673,35000.0
1,75567.96959195459,36125.0
1,69567.96959195459,84125.0
1,70432.03040804541,77000.0
1,75096.30283343673,39000.0
1,75055.48506980477,39750.0
1,5527.53242718581,84000.0
1,5540.337248371178,84125.0
1,69541.47670367736,83875.0
1,11067.969591954592,40125.0
1,11067.969591954592,40125.0
1,9750.0,50000.0
1,6432.030408045409,77000.0
1,9750.0,50000.0
1,73790.33724837117,50125.0
1,7583.5232963226445,76125.0
1,76125.0,40000.0
1,75000.0,40000.0
1,10959.66275162882,39875.0
1,75290.33724837117,38125.0
1,75277.5324271858,38000.0
1,5403.6971665632755,85000.0
1,5403.6971665632755,85000.0
1,12415.33724837118,38125.0
1,73709.66275162883,49875.0
1,11250.0,38000.0
1,76333.52329632264,38125.0
1,75182.03040804541,39000.0
1,12333.523296322644,38125.0
1,11153.697166563275,39000.0
1,70597.4675728142,84000.0
1,69459.66275162883,83875.0
1,2875.0,105000.0
1,14817.969591954592,10125.0
1,14817.969591954592,10125.0
1,2875.0,105000.0
1,72182.03040804541,63000.0
1,7500.0,68000.0
1,64346.302833436726,125000.0
1,72182.03040804541,63000.0
1,66903.69716656327,105000.0
1,7500.0,68000.0
1,68069.51493019523,105375.0
1,78817.96959195459,10125.0
1,78817.96959195459,10125.0
1,9319.514930195235,63375.0
1,72665.33724837117,68125.0
1,71540.33724837117,68125.0
1,8153.697166563276,63000.0
1,2569.5149301952342,117375.0
1,15847.467572814188,10000.0
1,14709.66275162882,9875.0
1,65959.66275162883,111875.0
1,2959.662751628822,103875.0
1,2959.6627516288218,103875.0
